nama_produk,harga,nama_toko,kota,terjual,rating
MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,Rp2.600,NomeL Shop,Surabaya,500+ terjual,4.8
Kylafood Paket (3 Seblak Original 2 Batagor kuah),Rp95.000Rp121.500,kylafood,Bandung,3rb+ terjual,4.9
TOPPING SEBLAK/BASO ACI PAKET MIX TERMURAH/CUANKI/CUANKIE,Rp34.999,ArfaOnlineShop,Tangerang,100+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,500+ terjual,5.0
KerUpuk Seblak Kerupuk Beton Pedas Daun Jeruk 250gram,Rp15.000,Mega_Snack_095,Cimahi,24 terjual,4.7
Seblak Komplit⠀⠀,Rp5.400Rp5.500,lisdhacollection,Kab. Garut,4rb+ terjual,4.8
Kerupuk seblak kering kencur 500gram /seblak kering pedas daun jeruk,Rp28.700Rp30.000,oyun kriukzz,Jakarta Barat,750+ terjual,4.9
bumbu seblak basah instan,Rp26.666,Kickball Official,Bandung,250+ terjual,4.7
Baso Aci & Seblak Home Made,Rp5.500,Rodhi snack,Kab. Nganjuk,30+ terjual,5.0
Basreng 250GR SEBLAK PEDAS MANIS ORIGINAL JONTOR SUPER ENAK,Rp14.850,Grosir Besar Kalimantan,Banjarbaru,20 terjual,4.8
Kerupuk seblak beton as kering cikruh 1 kg bumbu organik pedas gurih,Rp49.000,kerudung bunga,Cimahi,25 terjual,4.8
Kerupuk jengkol dan seblak beton (satu paket) rasa pedas kemasan 250 g,Rp15.500,Seblak Guludug Bandung,Kab. Bandung,16 terjual,5.0
Kylafood Paket Seblak Cup isi 4 pcs,Rp50.040Rp55.600,kylafood,Bandung,80+ terjual,5.0
SEBLAK INSTAN TERMURAH,Rp3.500,Cemilan-Ce,Kab. Sidoarjo,100+ terjual,4.9
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",Rp76.000Rp95.000,kylafood,Bandung,750+ terjual,4.9
Kerupuk Seblak Pedas 200gram,Rp18.000Rp20.000,toko bemo,Jakarta Timur,100+ terjual,4.8
SEBLAK INSTAN MANG MUSS - LEVEL 10,Rp13.999,Seblak Mang Muss,Tasikmalaya,750+ terjual,4.9
Seblak Rempah Autentik isi 5 pcs,Rp63.000,Kylafood Jakarta,Jakarta Selatan,100+ terjual,4.9
Cemilan Snack Kekinian | varian Kerupuk Seblak - Original,Rp8.000,SNACK TIMEE,Medan,,
"Cemilan Snack Krupuk Seblak Pedas Bawang Kencur, Kerupuk Warna Warni Pedes & Renyah - 100 gr",Rp8.500,Toko Jajan Murah Online,Surabaya,,
Kerupuk seblak mentah/kerupuk ikan udang/kerupuk Oren 250gram.,Rp7.500,Ambar rempah,Tangerang Selatan,,
kerupuk seblak pedas 1 kg / kerupuk seblak,Rp35.625Rp37.500,Adila_Putri_Snack,Kab.Ciamis,100+ terjual,4.8
kerupuk seblak pedas/kerupuk jablai 100gram,Rp8.000,Warung Snackk,Tangerang,16 terjual,5.0
KERUPUK / KRUPUK SEBLAK RASA PEDAS / TERLARIS / KILOAN 500 GR,Rp31.164,Toko kue Sumber Mas,Jakarta Timur,100+ terjual,4.8
Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk - Putih,Rp24.500,Distributor-Jaya,Tangerang,100+ terjual,5.0
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp25.000Rp30.000,Lidigeli,Kab. Garut,100+ terjual,4.9
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",Rp76.000Rp95.000,kylafood,Bandung,750+ terjual,4.9
Kerupuk Seblak Kencur Pedas 1 kg Termurah,Rp8.000Rp85.000,MuezzaSnack,Kab. Cirebon,22 terjual,4.8
SEBLAK INSTAN MOMMY,Rp13.900,Rav Jaya Display,Kab. Tangerang,1rb+ terjual,4.8
Pilus Cikur 1Kg Khas Garut Topping Baso Aci / Seblak,Rp33.000,Pedas Gilaa,Surabaya,500+ terjual,4.9
KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,Rp16.695,Toko kue Sumber Mas,Jakarta Timur,250+ terjual,4.9
kerupuk seblak ALN2 kemasan 100 gr,Rp12.000,grosir sembako Aln2,Kab. Bandung Barat,,
PROMO KEMERDEKAAN SEBLAK + KRISANG 200 GR,Rp79.000,Central Seblak Nusantara,Tangerang Selatan,,
Kylafood Paket Paket 2 Seblak Cup + 4 Seblak Autentik,Rp71.460Rp79.400,kylafood,Bandung,16 terjual,4.8
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Kecil,Rp12.500,Pasar Keripik Bandung,Bandung,100+ terjual,4.9
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,1rb+ terjual,4.9
SEBLAK INSTAN SAJODO SNACK,Rp18.500Rp23.000,Sajodo Snack & Food,Tasikmalaya,100+ terjual,4.8
"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",Rp42.500,gaiagarut,Kab. Garut,250+ terjual,4.8
"baso aci, bakso aci, cuanki, seblak instan, boci",Rp8.000,baso aci masabi,Jakarta Selatan,2rb+ terjual,4.8
seblak basreng pedas original exstra daun jeruk 500gram,Rp25.000,seblak bandung99,Kab. Bandung,2rb+ terjual,4.8
1 Kg Kerupuk Seblak Kencur Bantet Pedas Nikmat Harga Camilan Grosir Snack Viral,Rp7.400,Grosir Jaya Snack,Surabaya,3 terjual,
"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",Rp11.000,global cookware1,Jakarta Barat,750+ terjual,4.9
^; Seblak Rafael Asli Original | Seblak Coet Mamang Rafael,Rp28.000,siskaarinang2,Bandung,17 terjual,5.0
baso aci / seblak instan,Rp6.000,Nyum_mama,Pekanbaru,70+ terjual,4.6
Seblak Beton 1kg Pedas Daun Jeruk / Seblak Kerupuk JAAT 1kg,Rp37.500,D&R-9 collection,Bandung,60+ terjual,4.8
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,DUO BOCIL SNACK,Depok,250+ terjual,4.9
KERUPUK PEDAS SEBLAK 250 GR - sebring,Rp18.000,TOKO KUE MEISYA 2,Jakarta Pusat,50+ terjual,4.9
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,Rp12.500,CUANKI CULAMETAN,Kab. Garut,500+ terjual,4.9
Kerupuk seblak pedas 500 Grm / kerupuk seblak pedas kencur,Rp22.500,adistri snack,Kab.Ciamis,1 terjual,
Kerupuk Seblak Pedas Mimi,Rp18.000,Snack Zone Official,Jakarta Selatan,80+ terjual,4.9
Kylafood Seblak Tulang Rawan Play,Rp21.675Rp25.500,kylafood,Bandung,750+ terjual,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp19.000Rp30.000,Lidigeli,Kab. Garut,500+ terjual,4.8
GRATIS ONGKIR SEBLAK INSTAN/SEBLAK BANDUNG/SEBLAK GARUT/MURAH MANTAP,Rp3.999,MarkCi .id,Kab. Garut,100+ terjual,4.4
11 BUNGKUS SEBLAK MAMANG PAKET RESELLER,Rp55.000,global cookware1,Jakarta Barat,80+ terjual,5.0
Kylafood Seblak Tulang Rawan,Rp22.950Rp25.500,kylafood,Bandung,8rb+ terjual,4.9
SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,Rp22.000,Rasa Juara Indonesia,Kab. Bandung,1rb+ terjual,4.9
Seblak Ceker Cap Dua Putra,Rp8.000,Medina Snack Grosir,Kab. Sukabumi,100+ terjual,5.0
seblak instan jeletot jajanan hits bandung 1 porsi,Rp4.180,tokomakanankalimantan,Jakarta Barat,1rb+ terjual,4.8
KERUPUK JABLAY BANTET SEBLAK PELANGI,Rp15.999,Toko kue Sumber Mas,Jakarta Timur,500+ terjual,4.9
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR KEMASAN 1 KG,Rp57.999,Simshop_,Cimahi,18 terjual,5.0
Seblak Tulang Rangu Nyai Mercon,Rp21.000,Jajanan Hits (JS),Tangerang Selatan,70+ terjual,5.0
Kylafood paket 2 Seblak cup + 2 Seblak rempah autentik,Rp48.240Rp53.600,kylafood,Bandung,15 terjual,4.8
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet - Original,Rp7.138,Berkah Food Bandung,Cimahi,7rb+ terjual,4.9
Kylafood Seblak Kwetiaw play,Rp21.150Rp23.500,kylafood,Bandung,500+ terjual,4.9
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65gr,Rp10.200Rp12.000,Foodstocks,Jakarta Selatan,70+ terjual,5.0
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,Rp12.500,CUANKI CULAMETAN,Kab. Garut,500+ terjual,4.9
"Basreng 100 gram Ori, Seblak, Pedas Manis, Super Pedas isi 100gr",Rp7.599,Grosir Besar Kalimantan,Banjarbaru,29 terjual,5.0
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,Rp40.000,Beauty DELUXE,Jakarta Barat,30+ terjual,4.9
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,Rp40.000,Naturally Plus Jakarta,Kab. Tangerang,250+ terjual,4.9
