nama_produk,harga,nama_toko,kota,terjual,rating
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet - Original,7138,Berkah Food Bandung,Cimahi,7000,4.9
Kylafood Seblak Kwetiaw play,21150,kylafood,Bandung,500,4.9
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65gr,10200,Foodstocks,Jakarta Selatan,70,5.0
"Basreng 100 gram Ori, Seblak, Pedas Manis, Super Pedas isi 100gr",7599,Grosir Besar Kalimantan,Banjarbaru,29,5.0
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,40000,Beauty DELUXE,Jakarta Barat,30,4.9
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,Kab. Tangerang,250,4.9
KERUPUK SEBLAK BETON BANTAT PEDES GURIH DAUN JERUK 250GRAM,19000,Madinah Oleh Oleh Bdg,Bandung,70,4.9
Seblak Bu Etu - Misdaseum / Original,19900,Bakso Bu Etu,Kab. Bandung,750,4.9
CEMILAN BOX MAKARONI SPIRAL GELUNG KERUPUK SEBLAK STICK PANGSIT,35789,nyemilsaji,Kab. Bandung,750,4.9
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",22500,global cookware1,Jakarta Barat,1000,4.8
[ 250gr ] Kerupuk Seblak Kencur Pedas Daun Jeruk / Camilan Snack Murah,7250,Bara Snack Kediri 1,Kediri,29,5.0
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",9999,aghniya,Tangerang Selatan,500,4.8
[ 250gr ] Kerupuk Seblak Jengkol Pedas / Camilan Snack Kiloan Murah,13500,Bara Snack Kediri 1,Kediri,6,5.0
seblak ceker pedas,8995,snack_it,Tangerang Selatan,500,4.9
KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19500,dariimyu,Kab. Indramayu,250,4.9
kerupuk seblak rafael 200gr,10999,Bunda Qiana Store,Bandung,30,4.8
Tempat Toping seblak prasmanan 3ruang,305200,Fajar Akrilik Display2,Tangerang,0,0.0
Seblak Instan Sehati,13000,Official Kartika Sari,Bandung,750,5.0
SEBLAK KERING KERUPUK BETON 500GR PEDAS DAUN JERUK,27999,BANDUNG SNACK CENTER.ID,Kab. Bandung,21,4.2
Krupuk seblak kencur 500gram,12000,Ummuchasna,Kab. Magelang,30,4.9
Kylafood Seblak Cup isi 2 pcs,25020,kylafood,Bandung,60,4.9
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg SLONDOK,21750,SuperSnacksShop,Kab. Bandung,250,4.9
TEMPAT TOPING SEBLAK PRASMANAN,650000,Fajar Akrilik Display,Tangerang,0,0.0
Seblak Cobek Seblak Rafael Seblak Ala Rafael_1616 Seblak Sambel Kencur,8782,NomeL Shop,Surabaya,40,4.9
Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,65000,Lidigeli,Kab. Garut,60,4.7
SEBLAK CUANKI KUAH CUP INSTAN PUSPA ( PUSAKA PARAHYANGAN ) 6 min,12500,Berkah Niaga Jaya,Kab. Garut,750,4.9
"(COD) seblak kering kerupuk jengkol bumbu basah,pedas",25000,anugrah seblak,Kab. Bandung,60,4.6
Kylafood Paket 4 Seblak Original 1 Batagor,91000,kylafood,Bandung,1000,4.9
Seblak Kering Gurih 65gram,12900,Lidigeli,Kab. Garut,100,5.0
krupuk seblak hah pedas gurih 200gr,11500,Markas Makaroni,Kab. Bekasi,1000,4.9
BASO ACI HOMEMADE boci isi 6 baso aci tulang rangu seblak Boci sehot,3800,NomeL Shop,Surabaya,100,4.4
Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,56300,Rak Sebelah,Jakarta Pusat,100,4.9
"siomay pedas kering,daun jeruk,500g,cemilan pedas,seblak,siomay bandun",23000,anugrah seblak,Kab. Bandung,250,4.7
Bumbu Seblak Instan 15gr Bisa Untuk 2porsi,2900,Hokishopsurabaya,Surabaya,1,5.0
SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,20000,KailaAini_collection,Kab. Karawang,70,5.0
Mamafuji - Seblak Instan viral (DUTA SEBLAK APPROVED),23999,Mama Fuji Official,Tangerang,100,4.7
Seblak instan / seblak instan BANDUNG / seblak instan pedas,4200,AZKIA RASA,Kab. Tasikmalaya,100,5.0
Bakso Aci Instan Murah Asli Bandung Frozen Baso Cilok Kuah Kenyang,5702,Berkah Food Bandung,Cimahi,10000,4.9
siomay mini kering 1kg toping seblak baso aci,25999,CUANKI CULAMETAN,Kab. Garut,250,4.9
Seblak Jadoel Sambel Hedjo Samiraos | Seblak Instan Pedas Murah,18500,Lemari Wanita,Jakarta Timur,4,5.0
cuanki tahu kering seblak atau batagor kering isi 150 pcs,34999,CUANKI CULAMETAN,Kab. Garut,100,4.8
SEBLAK BETON 1KG CIKRUH PEDAS DAUN JERUK BOS SNACK BANDUNG,44450,BOS SNACK BANDUNG,Bandung,1,0.0
cuanki pangsit segitiga atau cipet isi 40 pcs toping seblak baso aci,13999,CUANKI CULAMETAN,Kab. Garut,100,4.9
Kylafood Seblak Kwetiaw,19975,kylafood,Bandung,4000,4.9
Cuanki tahu bulat kering 50 pcs toping seblak baso aci,17999,CUANKI CULAMETAN,Kab. Garut,70,4.9
Cabe bubuk special baso aci & seblak,11999,aghniya,Tangerang Selatan,250,4.9
seblak / paket seblak bumbu komplit pedas ekonomis,3479,Grosir Putra Bdg,Kab. Bandung,750,4.8
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR KEMASAN 250 GRAM,18899,Simshop_,Cimahi,18,5.0
SAMBAL BUMBU SEBLAK / SEBLAK INSTAN / SEBLAK PRAKTIS / PEDAS GURIH,3500,Uai Food,Surabaya,70,4.5
siomay mini kering 250 gram toping seblak baso aci,7999,CUANKI CULAMETAN,Kab. Garut,250,4.9
Kylafood Seblak Mie Baso,24750,kylafood,Bandung,4000,4.9
CUANKI TAHU KERING isi 500pcs Topping SEBLAK Cuanki Baso Aci,130000,jajanangarut19,Jakarta Selatan,30,3.4
Kylafood Seblak karuhun,12150,kylafood,Bandung,4000,4.8
seblak jadul Samiraos  sambel Hedjo,18750,Jajanan Hits (JS),Tangerang Selatan,12,5.0
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,42500,kylafood,Bandung,100,4.8
siomay mini kering / cuanki / batagor / seblak / bakso aci,9500,fahirastores,Kab. Bandung Barat,250,4.9
Kylafood Seblak Mie Baso Sapi Play,24750,kylafood,Bandung,250,4.9
Kerupuk seblak beton as kering cikruh bumbu organik pedas gurih,16750,kerudung bunga,Cimahi,6,0.0
